infile,capacity_mb,key_sample_ratio,evict_expired,rv_enable,rv_min_ttl,rv_min_freq,rv_max_zone_amp,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
fb23_a,2048,1,true,true,15,5,2,50114817,26060400,233615,0,14706046,0,9114756,23820802,602225,368049
fb23_a,2048,1,true,true,120,8,2,50114817,26077411,128495,0,14706046,0,9202865,23908911,331204,202390
cf_g,2048,1,true,true,45,3,2,305423259,255442013,2178347,0,30637283,0,17165616,47802899,3978924,1716103
cf_e,2048,1,true,true,5,4,2,350792453,301766551,2015027,0,31410803,0,15600072,47010875,3848931,1801656
cf_c,2048,1,true,true,30,4,2,585034315,479065254,3540810,0,69164776,0,33263475,102428251,5464014,1884209
cf_a,2048,1,true,true,30,2,2,611934080,545142020,5495505,0,39393977,0,21902578,61296555,10740746,5183624
fb23_c,2048,1,true,true,15,6,2,96069531,37284974,330811,0,34573902,0,23879844,58453746,1123977,792141
fb23_c,2048,1,true,true,15,5,2,96069531,37271927,414860,0,34573902,0,23808842,58382744,1488308,1072080
fb23_b,2048,1,true,true,1,8,2,102880352,32530193,214489,0,36942641,0,33193029,70135670,632656,417534
fb23_c,2048,1,true,true,1,5,2,96069531,37271927,414860,0,34573902,0,23808842,58382744,1488308,1072080
cf_a,2048,1,true,true,120,8,2,611934080,545811393,1636364,0,39393977,0,25092346,64486323,2312511,667642
cf_a,2048,1,true,true,120,3,2,611934080,545534996,3174916,0,39393977,0,23830191,63224168,5500822,2293268
fb23_b,2048,1,true,true,120,6,2,102880352,32516268,310319,0,36942641,0,33111124,70053765,976495,665251
fb23_c,2048,1,true,true,60,1,2,96069531,37009637,2611879,0,34573902,0,21874113,56448015,57642917,54957443
cf_c,2048,1,true,true,1,3,2,585034315,478775918,4990294,0,69164776,0,32103327,101268103,8393431,3347478
fb23_b,2048,1,true,true,1,6,2,102880352,32516261,310438,0,36942641,0,33111012,70053653,976623,665260
cf_g,2048,1,true,true,60,3,2,305423259,255442029,2178295,0,30637283,0,17165652,47802935,3978804,1716035
cf_a,2048,1,true,true,15,8,2,611934080,545786574,2042788,0,39393977,0,24710741,64104718,2766891,715597
cf_a,2048,1,true,true,45,1,2,611934080,544962683,5929670,0,39393977,0,21647750,61041727,22178942,16060185
cf_g,2048,1,true,true,30,4,2,305423259,255505391,2028703,0,30637283,0,17251882,47889165,3885167,1793677
fb23_c,2048,1,true,true,120,2,2,96069531,37134349,1313827,0,34573902,0,23047453,57621355,8074805,6752960
cf_g,2048,1,true,true,15,8,2,305423259,255669668,1154190,0,30637283,0,17962118,48599401,1918206,734254
fb23_a,2048,1,true,true,120,7,2,50114817,26074044,151282,0,14706046,0,9183445,23889491,384530,232890
cf_g,2048,1,true,true,1,1,2,305423259,254837748,6080221,0,30637283,0,13868007,44505290,37201276,30876321
cf_a,2048,1,true,true,60,3,2,611934080,545511520,3331437,0,39393977,0,23697146,63091123,5698934,2334856
cf_g,2048,1,true,true,5,8,2,305423259,255669292,1167338,0,30637283,0,17949346,48586629,2080645,883545
cf_g,2048,1,true,true,15,3,2,305423259,255397496,2531724,0,30637283,0,16856756,47494039,5426660,2810462
fb23_b,2048,1,true,true,60,3,2,102880352,32448992,790928,0,36942641,0,32697791,69640432,3250744,2456837
fb23_a,2048,1,true,true,45,8,2,50114817,26077411,128495,0,14706046,0,9202865,23908911,331204,202390
fb23_c,2048,1,true,true,45,8,2,96069531,37299381,230457,0,34573902,0,23965791,58539693,675206,444101
fb23_b,2048,1,true,true,15,1,2,102880352,32254302,3026991,0,36942641,0,30656418,67599059,68120449,65016114
fb23_c,2048,1,true,true,45,7,2,96069531,37294024,270228,0,34573902,0,23931377,58505279,851695,580673
fb23_a,2048,1,true,true,120,4,2,50114817,26047997,309448,0,14706046,0,9051326,23757372,868023,557784
